"name","lat","long","depict"
"ソンゴ・ムナラの",-8.95778,39.5228,"http://commons.wikimedia.org/wiki/Special:FilePath/GreatMosque.jpg"
"遺跡群",-8.95778,39.5228,"http://commons.wikimedia.org/wiki/Special:FilePath/GreatMosque.jpg"
"クエバ・デ・ラス・マノス",-47.1553,-70.6553,"http://commons.wikimedia.org/wiki/Special:FilePath/SantaCruz-CuevaManos-P2210651b.jpg"
"ピントゥーラス川の",-47.1553,-70.6553,"http://commons.wikimedia.org/wiki/Special:FilePath/SantaCruz-CuevaManos-P2210651b.jpg"
"クタマク",10.1,1.06667,"http://commons.wikimedia.org/wiki/Special:FilePath/Togo_Taberma_house_02.jpg"
"バタマリバ人の土地",10.1,1.06667,"http://commons.wikimedia.org/wiki/Special:FilePath/Togo_Taberma_house_02.jpg"
"クンタ・キンテ島と",13.3175,-16.3615,"http://commons.wikimedia.org/wiki/Special:FilePath/Gambia_2010_-_St._James_island_0003.jpg"
"関連遺跡群",13.3175,-16.3615,"http://commons.wikimedia.org/wiki/Special:FilePath/Gambia_2010_-_St._James_island_0003.jpg"
"ゲベル・バルカルと",18.5333,31.8167,"http://commons.wikimedia.org/wiki/Special:FilePath/Jebel_barkal_rock.jpg"
"ナパタ地方の遺跡群",18.5333,31.8167,"http://commons.wikimedia.org/wiki/Special:FilePath/Jebel_barkal_rock.jpg"
"コパンのマヤ遺跡",14.84,-89.14,"http://commons.wikimedia.org/wiki/Special:FilePath/IMG_2314.JPG"
"コモエ国立公園",9.1,-3.7,"http://commons.wikimedia.org/wiki/Special:FilePath/NationalparkComoe3.jpg"
"パリのセーヌ河岸",48.8564,2.34556,"http://commons.wikimedia.org/wiki/Special:FilePath/Conciergerie_von_N.JPG"
"コンドアの岩絵遺跡群",-4.72444,35.8339,"http://commons.wikimedia.org/wiki/Special:FilePath/Kondoa.jpg"
"サブラタの考古遺跡",32.7922,12.4842,"http://commons.wikimedia.org/wiki/Special:FilePath/Sabratha_excavation_Panorama_April_2004.jpg"
"サロンガ国立公園",-2.0,21.0,"http://commons.wikimedia.org/wiki/Special:FilePath/La_rivière_Lulilaka,_parc_national_de_Salonga,_2005.jpg"
"ミュスタイアのベネディクト会ザンクト・ヨハン修道院",46.6299,10.4485,"http://commons.wikimedia.org/wiki/Special:FilePath/Kloster_Muestair.jpg"
"ジェミラ",36.3206,5.73556,"http://commons.wikimedia.org/wiki/Special:FilePath/GM_Djemila_Roman_Theatre02.jpg"
"リスボンのジェロニモス修道院とベレンの塔",38.6975,-9.20667,"http://commons.wikimedia.org/wiki/Special:FilePath/Jerónimos_April_2009-4.jpg"
"ジェンネ旧市街",13.9056,-4.555,"http://commons.wikimedia.org/wiki/Special:FilePath/Djenne-locmap2.png"
"ジャー動物保護区",3.0,13.0,"http://commons.wikimedia.org/wiki/Special:FilePath/Dja_River_and_pirogue.JPG"
"スオメンリンナの要塞",60.1436,24.9844,"http://commons.wikimedia.org/wiki/Special:FilePath/Suomenlinna.jpg"
"ストーンヘンジ、エーヴベリーと関連する遺跡群",51.1789,-1.82528,"http://commons.wikimedia.org/wiki/Special:FilePath/Stonehenge_back_wide.jpg"
"セネガンビアの",13.6911,-15.5225,"http://commons.wikimedia.org/wiki/Special:FilePath/1014097-Wassu_stone_circles-The_Gambia.jpg"
"環状列石",13.6911,-15.5225,"http://commons.wikimedia.org/wiki/Special:FilePath/1014097-Wassu_stone_circles-The_Gambia.jpg"
"セビリアの大聖堂、アルカサル、インディアス古文書館",37.3858,-5.99306,"http://commons.wikimedia.org/wiki/Special:FilePath/Sevila11.JPG"
"タイ国立公園",5.75,-7.11667,"http://ja.wikipedia.org/wiki/Special:FilePath/GazouBoshu.png"
"タッシリ・ナジェール",25.1667,8.16667,"http://commons.wikimedia.org/wiki/Special:FilePath/Algerien_5_0049.jpg"
"タドラルト・アカクスの",24.8333,10.3333,"http://commons.wikimedia.org/wiki/Special:FilePath/Tadrart_Acacus_1.jpg"
"岩絵遺跡群",24.8333,10.3333,"http://commons.wikimedia.org/wiki/Special:FilePath/Tadrart_Acacus_1.jpg"
"古代都市チチェン・イッツァ",20.6829,-88.5686,"http://commons.wikimedia.org/wiki/Special:FilePath/Chichen-Itza-Castillo-Seen-From-East.JPG"
"チャトラパティ・シヴァージー・ターミナス駅（旧ヴィクトリア・ターミナス駅）",18.9398,72.8355,"http://commons.wikimedia.org/wiki/Special:FilePath/Chhatrapati_Shivaji_Terminus_(Victoria_Terminus).jpg"
"チョンゴニの岩絵地域",-14.2933,34.2792,"http://ja.wikipedia.org/wiki/Special:FilePath/Chongoni_rock_art.jpg"
"ツォディロ",-18.7717,21.7542,"http://commons.wikimedia.org/wiki/Special:FilePath/Tsodilo_rock_paintings_1.jpg"
"ティパサ",36.595,2.44083,"http://commons.wikimedia.org/wiki/Special:FilePath/Le_Cardo_maximus_de_la_ville_romaine_(Tipaza).jpg"
"ティムガッド",35.4842,6.46867,"http://commons.wikimedia.org/wiki/Special:FilePath/Timgad_Trajan.jpg"
"ティヤ",8.43333,38.6167,"http://commons.wikimedia.org/wiki/Special:FilePath/Tiya_vue_d'ensemble.JPG"
"テトゥアン旧市街",35.5667,-5.36667,"http://commons.wikimedia.org/wiki/Special:FilePath/Tetuan_vista_desde_un_tejado.JPG"
"厳正自然保護区",7.603,-8.391,"http://commons.wikimedia.org/wiki/Special:FilePath/Voa_Guinea_chimpanzee_picking_30jan08.jpg"
